"county","precinct","TRUMP","CLINTON","JOHNSON","voters_16","ballots_16","turnout_16","HANDEL","OSSOFF","voters_17","ballots_17","turnout_17","winner2016","winner2017","D2016","D2017","diff"
"Fulton","AP09A",1366,1324,135,3612,2914,80.68,1118,1039,3832,2158,56.32,"Trump","Handel",50.78,51.83,1.05
"Fulton","AP09B",224,300,20,681,562,82.53,177,263,760,440,57.89,"Clinton","Ossoff",42.75,40.23,-2.52
"Fulton","AP10",421,249,38,866,729,84.18,335,225,895,561,62.68,"Trump","Handel",62.84,59.82,-3.02
"Fulton","AP12A",141,257,15,548,420,76.64,108,174,586,282,48.12,"Clinton","Ossoff",35.43,38.3,2.87
"Fulton","AP12B",118,255,14,529,390,73.72,71,175,607,246,40.53,"Clinton","Ossoff",31.64,28.86,-2.78
"Fulton","AP12C",472,353,33,1116,874,78.32,389,287,1251,677,54.12,"Trump","Handel",57.21,57.54,0.329999999999998
"Fulton","AP13",915,838,55,2248,1847,82.16,654,638,2406,1293,53.74,"Trump","Handel",52.2,50.62,-1.58000000000001
"Fulton","AP14",1078,942,128,2643,2213,83.73,946,837,2795,1785,63.86,"Trump","Handel",53.37,53.06,-0.309999999999995
"Fulton","JC01",1322,1870,120,4228,3377,79.87,1017,1563,4541,2580,56.82,"Clinton","Ossoff",41.42,39.42,-2
"Fulton","JC02",697,722,35,1836,1477,80.45,485,522,2011,1007,50.07,"Clinton","Ossoff",49.12,48.16,-0.960000000000001
"Fulton","JC03A",199,196,17,473,421,89.01,164,160,498,324,65.06,"Trump","Handel",50.38,50.62,0.239999999999995
"Fulton","JC03B",373,549,38,1224,985,80.47,277,437,1288,714,55.43,"Clinton","Ossoff",40.46,38.8,-1.66
"Fulton","JC04A",1381,1410,151,3649,3043,83.39,1076,1196,3896,2273,58.34,"Clinton","Ossoff",49.48,47.36,-2.12
"Fulton","JC04B",74,91,9,230,178,77.39,50,65,250,115,46,"Clinton","Ossoff",44.85,43.48,-1.37
"Fulton","JC05",651,736,81,1864,1503,80.63,500,582,1989,1083,54.45,"Clinton","Ossoff",46.94,46.21,-0.729999999999997
"Fulton","JC06",1025,713,55,2350,1835,78.09,746,499,2485,1246,50.14,"Trump","Handel",58.98,59.92,0.940000000000005
"Fulton","JC07",1207,1390,107,3463,2762,79.76,961,1214,3792,2177,57.41,"Clinton","Ossoff",46.48,44.18,-2.3
"Fulton","JC08",964,872,110,2395,1989,83.05,766,760,2579,1529,59.29,"Trump","Handel",52.51,50.2,-2.31
"Fulton","JC09",806,1059,89,2502,1999,79.9,645,856,2695,1502,55.73,"Clinton","Ossoff",43.22,42.97,-0.25
"Fulton","JC10",619,800,69,1921,1524,79.33,484,667,2144,1151,53.68,"Clinton","Ossoff",43.62,42.05,-1.57
